fxosaccx,fxosaccy,fxosaccz,lsmaccx,lsmaccy,lsmaccz,lsmangx,lsmangy,lsmangz,a0,a1,a2,a3,a4,a5,f1,f2,timestamp
148,280,16864,0,0,0,0,0,0,16003,15788,17251,19989,30606,22826,39,0,2030
-144,-876,17732,0,0,0,0,0,0,11233,14210,23907,24163,24789,26076,39,1,2040
712,-140,16320,0,0,0,0,0,0,18681,25053,26791,20959,23034,21098,39,0,2050
-1648,268,18656,0,0,0,0,0,0,21587,15198,24638,23267,21116,24127,39,0,2060
1848,-1564,16092,0,0,0,0,0,0,15175,17483,19229,22943,23791,19931,40,1,2070
368,452,15680,0,0,0,0,0,0,17087,14290,19176,21190,23975,23098,39,0,2080
636,-1172,18788,0,0,0,0,0,0,11197,12415,23019,19330,24882,19159,40,1,2090
148,668,14612,0,0,0,0,0,0,14768,14047,22886,18383,23032,15497,40,0,2100
-1244,-68,18648,0,0,0,0,0,0,13057,10551,21766,22733,23052,12313,41,0,2110
1700,-1032,17032,0,0,0,0,0,0,12191,11009,20824,20940,19126,11484,40,1,2120
-800,-68,14552,0,0,0,0,0,0,14166,12265,17120,23030,19126,16416,40,0,2130
1704,-1796,15668,0,0,0,0,0,0,12240,14125,19335,15308,24582,22905,40,1,2140
-120,1268,16164,0,0,0,0,0,0,16841,13192,18184,16869,26021,23034,40,0,2150
-812,-480,18632,0,0,0,0,0,0,17326,18777,17223,23096,23047,19389,40,0,2160
2060,604,19004,0,0,0,0,0,0,12963,13172,21168,19140,19098,16360,41,1,2170
-1380,460,16008,0,0,0,0,0,0,14220,20896,17023,23195,21067,20010,40,0,2180
1964,-1908,15940,0,0,0,0,0,0,21930,26493,23917,22074,20129,24580,41,1,2190
-572,768,17384,0,0,0,0,0,0,25161,22055,26874,28531,21104,22943,41,0,2200
148,-1432,16172,0,0,0,0,0,0,18290,17164,25727,23175,24791,20086,41,1,2210
1088,2108,17500,0,0,0,0,0,0,19990,23938,20090,20115,24952,20270,41,0,2220
-1512,816,18972,0,0,0,0,0,0,21958,20204,21080,21016,19331,20735,41,0,2230
